201,1,50,120,101,2018-02-15
201,2,30,80,102,2018-06-20
202,3,40,90,103,2019-03-05
202,4,25,70,104,2019-08-12
203,5,35,100,105,2020-01-25
203,6,20,60,106,2020-07-18
204,7,45,110,107,2020-11-03
204,1,15,40,108,2021-02-14
205,2,50,130,109,2021-05-22
205,3,30,85,110,2021-09-01
206,4,25,70,111,2022-01-17
206,5,35,95,112,2022-04-29
207,6,40,100,113,2022-08-12
207,7,20,50,114,2022-11-23
208,1,30,80,115,2023-02-08
208,2,25,65,116,2023-05-19
209,3,45,120,117,2023-09-04
209,4,15,40,118,2023-12-15
210,5,50,130,119,2024-03-10
210,6,30,85,120,2024-06-20
211,7,25,60,121,2024-09-30
211,1,35,95,122,2024-12-11
212,2,40,110,123,2025-01-22
212,3,20,55,124,2025-04-05
213,4,30,80,125,2025-06-16
213,5,25,65,126,2025-09-27
214,6,45,120,127,2025-11-08
214,7,15,40,128,2025-12-20
201,1,50,120,129,2019-03-14
202,2,30,80,130,2020-06-01
